year,countyfips,statefips,hel8,wcount,pfuel,lnp,pgt,bt,till,gt
2010,1059,1,0,0,2.7853334,*,*,*,*,*
2010,1093,1,1,0,2.7853334,*,*,*,*,*
2010,1079,1,0,0,2.7853334,*,*,*,*,*
2010,1089,1,0,0,2.7853334,*,*,*,*,*
2010,1089,1,0,0,2.7853334,*,*,*,*,*
2010,1089,1,0,0,2.7853334,*,*,*,*,*
2010,1077,1,1,0,2.7853334,*,*,*,*,*
2010,1043,1,1,0,2.7853334,*,*,*,*,*
2010,1095,1,1,0,2.7853334,*,*,*,*,*
2010,1095,1,1,0,2.7853334,*,*,*,*,*
2010,1019,1,0,0,2.7853334,*,*,*,*,*
2010,1043,1,1,0,2.7853334,*,*,*,*,*
2010,1111,1,1,0,2.7853334,*,*,*,*,*
2010,1051,1,0,0,2.7853334,*,*,*,*,*
2010,1091,1,1,0,2.7853334,*,*,*,*,*
2010,1047,1,0,0,2.7853334,*,*,*,*,*
2010,1013,1,1,0,2.7853334,*,*,*,*,*
2010,1053,1,0,0,2.7853334,*,*,*,*,*
2010,1097,1,0,0,2.7853334,*,*,*,*,*
2010,1053,1,0,0,2.7853334,*,*,*,*,*
2010,1061,1,0,0,2.7853334,*,*,*,*,*
2010,1041,1,0,0,2.7853334,*,*,*,*,*
2010,1061,1,0,0,2.7853334,*,*,*,*,*
2010,5083,5,0,6,2.7853334,*,*,*,*,*
2010,5085,5,0,6,2.7853334,*,*,*,*,*
2010,5085,5,0,6,2.7853334,*,*,*,*,*
2010,5073,5,0,6,2.7853334,*,*,*,*,*
2010,5003,5,0,6,2.7853334,*,*,*,*,*
2010,6021,6,0,5,2.9438889,*,*,*,*,*
2010,6113,6,0,5,2.9438889,*,*,*,*,*
2010,6095,6,0,5,2.9438889,*,*,*,*,*
2010,6021,6,0,5,2.9438889,*,*,*,*,*
2010,6021,6,0,5,2.9438889,*,*,*,*,*
2010,6047,6,0,5,2.9438889,*,*,*,*,*
2010,6099,6,0,5,2.9438889,*,*,*,*,*
2010,6019,6,0,5,2.9438889,*,*,*,*,*
2010,6031,6,0,5,2.9438889,*,*,*,*,*
2010,6031,6,0,5,2.9438889,*,*,*,*,*
2010,6047,6,0,5,2.9438889,*,*,*,*,*
2010,6031,6,0,5,2.9438889,*,*,*,*,*
2010,6107,6,0,5,2.9438889,*,*,*,*,*
2010,6077,6,0,5,2.9438889,*,*,*,*,*
2010,6031,6,0,5,2.9438889,*,*,*,*,*
2010,6099,6,0,5,2.9438889,*,*,*,*,*
2010,6047,6,0,5,2.9438889,*,*,*,*,*
2010,6047,6,0,5,2.9438889,*,*,*,*,*
2010,8069,8,1,-2,2.8545556,*,*,*,*,*
2010,8123,8,1,-2,2.8545556,*,*,*,*,*
2010,8087,8,1,-2,2.8545556,*,*,*,*,*
2010,8123,8,1,-2,2.8545556,*,*,*,*,*
2010,8069,8,1,-2,2.8545556,*,*,*,*,*
2010,8087,8,1,-2,2.8545556,*,*,*,*,*
2010,8075,8,1,-2,2.8545556,*,*,*,*,*
2010,8123,8,1,-2,2.8545556,*,*,*,*,*
2010,8069,8,1,-2,2.8545556,*,*,*,*,*
